scope,machine_id,feature_name,dtype,missing_count,missing_percentage
overall,,cpu_pct,float64,0,0.0
overall,,cpu_frequency_mhz,float64,0,0.0
overall,,ram_pct,float64,0,0.0
overall,,ram_used_mb,float64,0,0.0
overall,,ram_available_mb,float64,0,0.0
overall,,swap_pct,float64,0,0.0
overall,,swap_used_mb,float64,0,0.0
overall,,disk_usage_pct,float64,0,0.0
overall,,disk_free_gb,float64,0,0.0
overall,,disk_read_mb_s,float64,49,0.0368
overall,,disk_write_mb_s,float64,49,0.0368
overall,,disk_latency_ms,float64,49,0.0368
overall,,net_sent_mb_s,float64,50,0.0376
overall,,net_recv_mb_s,float64,50,0.0376
overall,,network_latency_ms,float64,16320,12.2692
overall,,process_count,int64,0,0.0
overall,,thread_count,int64,0,0.0
overall,,context_switches_per_s,float64,18631,14.0066
overall,,battery_pct,float64,0,0.0
overall,,battery_plugged,int64,0,0.0
overall,,cpu_pct_mean_30s,float64,0,0.0
overall,,cpu_pct_max_30s,float64,0,0.0
overall,,cpu_pct_min_30s,float64,0,0.0
overall,,cpu_pct_std_30s,float64,126,0.0947
overall,,cpu_pct_change_30s,float64,0,0.0
overall,,cpu_pct_missing_pct_30s,float64,0,0.0
overall,,cpu_pct_mean_60s,float64,0,0.0
overall,,cpu_pct_max_60s,float64,0,0.0
overall,,cpu_pct_min_60s,float64,0,0.0
overall,,cpu_pct_std_60s,float64,126,0.0947
overall,,cpu_pct_change_60s,float64,0,0.0
overall,,cpu_pct_missing_pct_60s,float64,0,0.0
overall,,cpu_pct_mean_120s,float64,0,0.0
overall,,cpu_pct_max_120s,float64,0,0.0
overall,,cpu_pct_min_120s,float64,0,0.0
overall,,cpu_pct_std_120s,float64,126,0.0947
overall,,cpu_pct_change_120s,float64,0,0.0
overall,,cpu_pct_missing_pct_120s,float64,0,0.0
overall,,ram_pct_mean_30s,float64,0,0.0
overall,,ram_pct_max_30s,float64,0,0.0
overall,,ram_pct_min_30s,float64,0,0.0
overall,,ram_pct_std_30s,float64,126,0.0947
overall,,ram_pct_change_30s,float64,0,0.0
overall,,ram_pct_missing_pct_30s,float64,0,0.0
overall,,ram_pct_mean_60s,float64,0,0.0
overall,,ram_pct_max_60s,float64,0,0.0
overall,,ram_pct_min_60s,float64,0,0.0
overall,,ram_pct_std_60s,float64,126,0.0947
overall,,ram_pct_change_60s,float64,0,0.0
overall,,ram_pct_missing_pct_60s,float64,0,0.0
overall,,ram_pct_mean_120s,float64,0,0.0
overall,,ram_pct_max_120s,float64,0,0.0
overall,,ram_pct_min_120s,float64,0,0.0
overall,,ram_pct_std_120s,float64,126,0.0947
overall,,ram_pct_change_120s,float64,0,0.0
overall,,ram_pct_missing_pct_120s,float64,0,0.0
overall,,swap_pct_mean_30s,float64,0,0.0
overall,,swap_pct_max_30s,float64,0,0.0
overall,,swap_pct_min_30s,float64,0,0.0
overall,,swap_pct_std_30s,float64,126,0.0947
overall,,swap_pct_change_30s,float64,0,0.0
overall,,swap_pct_missing_pct_30s,float64,0,0.0
overall,,swap_pct_mean_60s,float64,0,0.0
overall,,swap_pct_max_60s,float64,0,0.0
overall,,swap_pct_min_60s,float64,0,0.0
overall,,swap_pct_std_60s,float64,126,0.0947
overall,,swap_pct_change_60s,float64,0,0.0
overall,,swap_pct_missing_pct_60s,float64,0,0.0
overall,,swap_pct_mean_120s,float64,0,0.0
overall,,swap_pct_max_120s,float64,0,0.0
overall,,swap_pct_min_120s,float64,0,0.0
overall,,swap_pct_std_120s,float64,126,0.0947
overall,,swap_pct_change_120s,float64,0,0.0
overall,,swap_pct_missing_pct_120s,float64,0,0.0
overall,,disk_latency_ms_mean_30s,float64,49,0.0368
overall,,disk_latency_ms_max_30s,float64,49,0.0368
overall,,disk_latency_ms_min_30s,float64,49,0.0368
overall,,disk_latency_ms_std_30s,float64,175,0.1316
overall,,disk_latency_ms_change_30s,float64,670,0.5037
overall,,disk_latency_ms_missing_pct_30s,float64,0,0.0
overall,,disk_latency_ms_mean_60s,float64,49,0.0368
overall,,disk_latency_ms_max_60s,float64,49,0.0368
